"","P_E_DA","E_DA","P_E_RT","E_RT","P_R_PR","R_PR","P_R_RU","P_R_RD","R_RU","R_RD","P_E_RU","P_E_RD","E_RU","E_RD"
"2881",24.25,40871.5,39.025618729097,897,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.4106127770535,-0.395217391304348,191.75,-5.75
"2882",24.54,39661.5,43.0089643652561,1796,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.7637372593432,-0.4875,220.75,-4
"2883",25.04,39722.5,45.329433427762,353,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.9710096153846,0.935083333333333,52,-30
"2884",24,40065.5,31.5596312554873,1139,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.8437777777778,-0.0463636363636364,45,-11
"2885",24,40558,53.9457647058824,255,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.2001492537313,0.308148148148148,67,-13.5
"2886",24.22,41650.75,5.93530672579453,-1353,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.075,3.84789396170839,4.5,-169.75
"2887",25.45,44938.5,-2.0135593220339,-472,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.3151315789474,2.34382681564246,19,-89.5
"2888",26.81,48745,98.6523636363636,110,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,37.4087179487179,-4.49984126984127,29.25,-47.25
"2889",28.69,51847.25,-5.87385480572597,-978,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.5792307692308,-3.86844994617869,6.5,-232.25
"2890",25.7,53566.75,-15.4571629307461,-2989,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.36,-2.5535697583788,3.25,-641.5
"2891",24.05,54688.75,213.27,50,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,37.5742741935484,-4.20854166666667,31,-108
"2892",22.44,53702.5,31.2621981681932,1201,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,38.0793267326733,-4.7096875,126.25,-24
"2893",22.01,51906.5,32.7155720122574,1958,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,37.816812749004,-4.58042372881356,62.75,-29.5
"2894",21.48,50364.5,31.0888883587786,2096,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,38.9504715127701,-5.20277777777778,127.25,-9
"2895",21.17,49821.75,32.5369694596711,1277,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,38.4146458923513,-5.25,176.5,-5
"2896",21.54,49705.25,4.67156626506024,-830,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,37.3308148148148,-4.29371541501976,33.75,-63.25
"2897",22.34,49989,-4.33253298153034,-758,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.49,-3.96966149506347,5,-177.25
"2898",25.02,50680.75,6.41332230311052,-1511,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.47,-4.05521167883212,4.5,-171.25
