datetime_beginning_utc,datetime_beginning_ept,hrly_da_demand_bid
3/4/2017 1:00:00 AM,3/3/2017 8:00:00 PM,97748.0
3/4/2017 2:00:00 AM,3/3/2017 9:00:00 PM,94573.0
3/4/2017 3:00:00 AM,3/3/2017 10:00:00 PM,89316.0
3/4/2017 4:00:00 AM,3/3/2017 11:00:00 PM,85624.0
3/4/2017 5:00:00 AM,3/4/2017 12:00:00 AM,84070.0
3/4/2017 6:00:00 AM,3/4/2017 1:00:00 AM,82835.0
3/4/2017 7:00:00 AM,3/4/2017 2:00:00 AM,82459.0
3/4/2017 8:00:00 AM,3/4/2017 3:00:00 AM,82613.0
3/4/2017 9:00:00 AM,3/4/2017 4:00:00 AM,83334.0
3/4/2017 10:00:00 AM,3/4/2017 5:00:00 AM,86846.0
3/4/2017 11:00:00 AM,3/4/2017 6:00:00 AM,91241.0
3/4/2017 12:00:00 PM,3/4/2017 7:00:00 AM,94169.0
3/4/2017 1:00:00 PM,3/4/2017 8:00:00 AM,93806.0
3/4/2017 2:00:00 PM,3/4/2017 9:00:00 AM,91714.0
3/4/2017 3:00:00 PM,3/4/2017 10:00:00 AM,90120.0
3/4/2017 4:00:00 PM,3/4/2017 11:00:00 AM,87776.0
3/4/2017 5:00:00 PM,3/4/2017 12:00:00 PM,85608.0
3/4/2017 6:00:00 PM,3/4/2017 1:00:00 PM,83413.0
3/4/2017 7:00:00 PM,3/4/2017 2:00:00 PM,81529.0
3/4/2017 8:00:00 PM,3/4/2017 3:00:00 PM,80935.0
3/4/2017 9:00:00 PM,3/4/2017 4:00:00 PM,82632.0
3/4/2017 10:00:00 PM,3/4/2017 5:00:00 PM,86844.0
3/4/2017 11:00:00 PM,3/4/2017 6:00:00 PM,91960.0
3/5/2017 12:00:00 AM,3/4/2017 7:00:00 PM,92638.0
3/5/2017 1:00:00 AM,3/4/2017 8:00:00 PM,91470.0
3/5/2017 2:00:00 AM,3/4/2017 9:00:00 PM,89715.0
3/5/2017 3:00:00 AM,3/4/2017 10:00:00 PM,86887.0
3/5/2017 4:00:00 AM,3/4/2017 11:00:00 PM,83230.0
3/5/2017 5:00:00 AM,3/5/2017 12:00:00 AM,82205.0
3/5/2017 6:00:00 AM,3/5/2017 1:00:00 AM,80712.0
3/5/2017 7:00:00 AM,3/5/2017 2:00:00 AM,80199.0
3/5/2017 8:00:00 AM,3/5/2017 3:00:00 AM,80474.0
3/5/2017 9:00:00 AM,3/5/2017 4:00:00 AM,81888.0
3/5/2017 10:00:00 AM,3/5/2017 5:00:00 AM,84290.0
3/5/2017 11:00:00 AM,3/5/2017 6:00:00 AM,87498.0
3/5/2017 12:00:00 PM,3/5/2017 7:00:00 AM,88274.0
3/5/2017 1:00:00 PM,3/5/2017 8:00:00 AM,87258.0
3/5/2017 2:00:00 PM,3/5/2017 9:00:00 AM,86050.0
3/5/2017 3:00:00 PM,3/5/2017 10:00:00 AM,84084.0
3/5/2017 4:00:00 PM,3/5/2017 11:00:00 AM,82010.0
3/5/2017 5:00:00 PM,3/5/2017 12:00:00 PM,79156.0
3/5/2017 6:00:00 PM,3/5/2017 1:00:00 PM,77011.0
3/5/2017 7:00:00 PM,3/5/2017 2:00:00 PM,75239.0
