C,SETP.WORLD,BILLING_AS_RECOVERY_SUMMARY,AEMO,PUBLIC,2017/07/27,13:43:08,0000000285825151,,0000000285825146
I,BILLING,ASRECOVERY_SUMMARY,1,BILLING_WEEK,STATUS,REGIONID,LOWER6SEC,LOWER60SEC,LOWER5MIN,LOWERREG,RAISE6SEC,RAISE60SEC,RAISE5MIN,RAISEREG,RESTART,REACTIVE,LOADSHED,TOTAL_CUSTOMER_RECOVERY,TOTAL_GENERATOR_RECOVERY,ENERGY_CUSTOMER,ENERGY_GENERATOR,RECOVERY_RATE_CUSTOMER,RECOVERY_RATE_GENERATOR
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk11,REVISE2,TAS1,-195842.112190,-6773.233240,-5187.294890,-17123.282085,-9750.535070,-3589.0236,0,-48537.631256,-62495.999980,0,0,-257854.595410,-91444.516901,-155231.303686,158267.299842,-1.66109920671403463123782606,-0.5777852847195224470606660165
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk11,REVISE2,VIC1,-71.314350,-530.270210,-8488.371670,-6034.059147,-33882.471910,-24995.841890,-50387.771150,-13257.852193,-92803.199960,0,0,-62896.990220,-167554.162260,-868457.685966,1011090.164902,-0.0724237821098199234449908218,-0.1657163407145199571692233360
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk12,REVISE2,NSW1,-122.369050,-864.121930,-7503.874080,-11874.634110,-73478.982310,-53184.6411,-73711.500714,-21640.060337,-143892.000020,-192319.68,0,-287264.3374,-291327.526251,-1279131.441075,1174298.186235,-0.2245776533790608904253886080,-0.2480864993797237055816800258
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk12,REVISE2,QLD1,-114.823540,-740.900950,-6134.072720,-8950.223778,-66948.746190,-48714.969770,-66368.666332,-16472.044573,-59532.48,0,0,-48474.280260,-225502.647593,-1037391.060952,1069545.446590,-0.0467271042566298930199845194,-0.2108397060751026501174868603
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk12,REVISE2,SA1,-22.607840,-159.341250,-1393.126740,-4386.146474,-12136.222170,-9065.298740,-12503.023338,-7987.492806,-35797.200030,0,0,-22335.380580,-61115.078808,-235310.268865,214586.620212,-0.0949188519809734483684238001,-0.2848037717711458449017794347
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk12,REVISE2,TAS1,-132469.930030,-6246.641390,-5069.485990,-26060.363843,-110601.440830,-3689.002060,-153.589102,-47679.155144,-62496,0,0,-196572.330260,-197893.278129,-160302.097042,163560.790698,-1.22626175132629117412166960,-1.20990658754145906177184381
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk12,REVISE2,VIC1,-71.826210,-504.883420,-4423.414570,-8864.690429,-59040.670160,-43163.606180,-59285.895598,-16311.917241,-92803.20,0,0,-60717.405670,-223752.698138,-766746.7509,959099.266544,-0.0791883442593405060622605111,-0.2332946191735358153945209217
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk13,REVISE2,NSW1,-169.481910,-1236.1031,-16528.393460,-111846.667814,-100437.965580,-73435.302760,-92189.044358,-111762.755236,-143891.999980,-192319.680010,0,-300315.309680,-543502.084528,-1165680.028166,1098626.877502,-0.2576309985789970609635309698,-0.4947103476694348207448266532
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk13,REVISE2,QLD1,-145.049480,-1062.2125,-14168.5921,-13727.456468,-279208.120950,-79234.600190,-85842.455440,-18619.148292,-59532.480010,0,0,-60140.805980,-491399.309450,-989205.523249,1033711.484817,-0.0607970786318198987862675380,-0.4753737543479004657142469353
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk13,REVISE2,SA1,-31.635990,-218.7377,-3057.974060,-92165.228433,-14292.989890,-10652.794080,-13431.865358,-88614.078501,-35397.199960,0,0,-67782.644630,-190079.859342,-211980.416969,159622.309681,-0.3197589928314582416250988198,-1.19081010494002012297570696
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk13,REVISE2,TAS1,-60846.517310,-6676.179810,-5190.474450,-42201.332991,-17775.715980,-3039.769890,-15.713704,-55820.188648,-62496.000010,0,0,-120065.216370,-133996.676423,-163441.623805,166465.467014,-0.7346061154730583961723629670,-0.8049517946670024652900650288
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk13,REVISE2,VIC1,-103.816840,-757.8942,-10091.6424,-90094.936810,-81288.743220,-59788.061650,-73603.783290,-89815.814472,-92803.200020,0,0,-69142.155510,-429205.737392,-716112.825857,875065.775026,-0.0965520418200231229768021311,-0.4904839723382478496764492428
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk14,REVISE2,NSW1,-206.212950,-1076.369320,-12116.247350,-31718.440504,-72572.340010,-64116.995850,-83121.405438,-25395.519750,-143891.999990,-192319.68,0,-297707.427050,-328827.784112,-1180230.701241,1023029.261340,-0.2522451133807685347402556537,-0.3214255901940573128279470724
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk14,REVISE2,QLD1,-173.987680,-909.902280,-10236.865210,-21024.510080,-76574.091360,-68066.052420,-85736.185780,-16777.852824,-59532.480020,0,0,-60974.295320,-278057.632334,-989844.680327,1069566.549147,-0.0615998616064258134465083542,-0.2599722593753108090816229435
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk14,REVISE2,SA1,-37.430060,-196.819860,-2241.182440,-6878.333733,-11388.066790,-10164.589140,-12692.919848,-5939.937123,-38997.199980,0,0,-25774.344260,-62762.134714,-209545.154921,161382.423497,-0.1230013849268770228031437176,-0.3889031615339864411231992641
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk14,REVISE2,TAS1,-70038.557290,-6628.240690,-5270.675190,-21277.007705,-9739.867720,-3107.468920,0,-49779.975807,-62496,0,0,-130438.139360,-97899.653962,-165779.900898,168880.153079,-0.7868151606644713003404198717,-0.5796989887627812599609634440
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk14,REVISE2,VIC1,-122.699490,-641.423550,-7253.564150,-15430.779715,-66263.784020,-58774.1131,-74305.535350,-12454.233857,-92803.199980,0,0,-67022.799170,-261026.534042,-705665.322195,924121.540451,-0.0949781674994640835384631579,-0.2824590950608195412559806655
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk15,REVISE2,NSW1,-393.516830,-1616.5514,-15774.188790,-37070.100505,-187156.531490,-99256.815120,-112523.587362,-41933.996845,-59567.249990,-192319.679990,0,-267915.928520,-479696.289802,-1233986.962294,1019268.913191,-0.2171140674144079523752407863,-0.4706278035108778889339307488
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk15,REVISE2,QLD1,-325.861050,-1352.214630,-13141.267540,-24252.945342,-204637.507660,-109876.141820,-122376.792991,-27397.084868,-59532.479990,0,0,-71600.929640,-491291.366251,-997388.752422,1126954.340812,-0.0717883868913986917829505982,-0.4359461146376274258939776834
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk15,REVISE2,SA1,-71.302970,-298.096470,-2888.898030,-7901.176927,-34447.932880,-18059.472450,-20509.671737,-9019.369290,-39547.20,0,0,-28154.978250,-104588.142504,-215165.626649,184385.663256,-0.1308525840697095034071963348,-0.5672249168244193763207535266
