datetime_beginning_utc,datetime_beginning_ept,hrly_da_demand_bid
5/9/2016 3:00:00 PM,5/9/2016 11:00:00 AM,82293.0
5/9/2016 4:00:00 PM,5/9/2016 12:00:00 PM,82945.0
5/9/2016 5:00:00 PM,5/9/2016 1:00:00 PM,82678.0
5/9/2016 6:00:00 PM,5/9/2016 2:00:00 PM,82340.0
5/9/2016 7:00:00 PM,5/9/2016 3:00:00 PM,82259.0
5/9/2016 8:00:00 PM,5/9/2016 4:00:00 PM,82370.0
5/9/2016 9:00:00 PM,5/9/2016 5:00:00 PM,81652.0
5/9/2016 10:00:00 PM,5/9/2016 6:00:00 PM,80485.0
5/9/2016 11:00:00 PM,5/9/2016 7:00:00 PM,79172.0
5/10/2016 12:00:00 AM,5/9/2016 8:00:00 PM,83873.0
5/10/2016 1:00:00 AM,5/9/2016 9:00:00 PM,81909.0
5/10/2016 2:00:00 AM,5/9/2016 10:00:00 PM,73173.0
5/10/2016 3:00:00 AM,5/9/2016 11:00:00 PM,67482.0
5/10/2016 4:00:00 AM,5/10/2016 12:00:00 AM,61822.0
5/10/2016 5:00:00 AM,5/10/2016 1:00:00 AM,60179.0
5/10/2016 6:00:00 AM,5/10/2016 2:00:00 AM,58223.0
5/10/2016 7:00:00 AM,5/10/2016 3:00:00 AM,58412.0
5/10/2016 8:00:00 AM,5/10/2016 4:00:00 AM,60177.0
5/10/2016 9:00:00 AM,5/10/2016 5:00:00 AM,65176.0
5/10/2016 10:00:00 AM,5/10/2016 6:00:00 AM,73682.0
5/10/2016 11:00:00 AM,5/10/2016 7:00:00 AM,77742.0
5/10/2016 12:00:00 PM,5/10/2016 8:00:00 AM,79650.0
5/10/2016 1:00:00 PM,5/10/2016 9:00:00 AM,81084.0
5/10/2016 2:00:00 PM,5/10/2016 10:00:00 AM,82595.0
5/10/2016 3:00:00 PM,5/10/2016 11:00:00 AM,83461.0
5/10/2016 4:00:00 PM,5/10/2016 12:00:00 PM,83669.0
5/10/2016 5:00:00 PM,5/10/2016 1:00:00 PM,83842.0
5/10/2016 6:00:00 PM,5/10/2016 2:00:00 PM,83100.0
5/10/2016 7:00:00 PM,5/10/2016 3:00:00 PM,83278.0
5/10/2016 8:00:00 PM,5/10/2016 4:00:00 PM,83354.0
5/10/2016 9:00:00 PM,5/10/2016 5:00:00 PM,82477.0
5/10/2016 10:00:00 PM,5/10/2016 6:00:00 PM,81231.0
5/10/2016 11:00:00 PM,5/10/2016 7:00:00 PM,80224.0
5/11/2016 12:00:00 AM,5/10/2016 8:00:00 PM,84825.0
5/11/2016 1:00:00 AM,5/10/2016 9:00:00 PM,83096.0
5/11/2016 2:00:00 AM,5/10/2016 10:00:00 PM,73380.0
5/11/2016 3:00:00 AM,5/10/2016 11:00:00 PM,66892.0
5/11/2016 4:00:00 AM,5/11/2016 12:00:00 AM,62569.0
5/11/2016 5:00:00 AM,5/11/2016 1:00:00 AM,61355.0
5/11/2016 6:00:00 AM,5/11/2016 2:00:00 AM,58704.0
5/11/2016 7:00:00 AM,5/11/2016 3:00:00 AM,58965.0
5/11/2016 8:00:00 AM,5/11/2016 4:00:00 AM,61163.0
5/11/2016 9:00:00 AM,5/11/2016 5:00:00 AM,65841.0
5/11/2016 10:00:00 AM,5/11/2016 6:00:00 AM,75060.0
5/11/2016 11:00:00 AM,5/11/2016 7:00:00 AM,77736.0
5/11/2016 12:00:00 PM,5/11/2016 8:00:00 AM,79490.0
5/11/2016 1:00:00 PM,5/11/2016 9:00:00 AM,80624.0
5/11/2016 2:00:00 PM,5/11/2016 10:00:00 AM,82519.0
5/11/2016 3:00:00 PM,5/11/2016 11:00:00 AM,83455.0
5/11/2016 4:00:00 PM,5/11/2016 12:00:00 PM,84372.0
5/11/2016 5:00:00 PM,5/11/2016 1:00:00 PM,84764.0
5/11/2016 6:00:00 PM,5/11/2016 2:00:00 PM,84397.0
5/11/2016 7:00:00 PM,5/11/2016 3:00:00 PM,84446.0
5/11/2016 8:00:00 PM,5/11/2016 4:00:00 PM,84822.0
5/11/2016 9:00:00 PM,5/11/2016 5:00:00 PM,83948.0
5/11/2016 10:00:00 PM,5/11/2016 6:00:00 PM,82725.0
5/11/2016 11:00:00 PM,5/11/2016 7:00:00 PM,81282.0
5/12/2016 12:00:00 AM,5/11/2016 8:00:00 PM,85148.0
5/12/2016 1:00:00 AM,5/11/2016 9:00:00 PM,83761.0
5/12/2016 2:00:00 AM,5/11/2016 10:00:00 PM,74751.0
5/12/2016 3:00:00 AM,5/11/2016 11:00:00 PM,68019.0
5/12/2016 4:00:00 AM,5/12/2016 12:00:00 AM,63279.0
5/12/2016 5:00:00 AM,5/12/2016 1:00:00 AM,61666.0
5/12/2016 6:00:00 AM,5/12/2016 2:00:00 AM,59363.0
5/12/2016 7:00:00 AM,5/12/2016 3:00:00 AM,59384.0
5/12/2016 8:00:00 AM,5/12/2016 4:00:00 AM,61174.0
5/12/2016 9:00:00 AM,5/12/2016 5:00:00 AM,65795.0
5/12/2016 10:00:00 AM,5/12/2016 6:00:00 AM,75198.0
5/12/2016 11:00:00 AM,5/12/2016 7:00:00 AM,79877.0
5/12/2016 12:00:00 PM,5/12/2016 8:00:00 AM,81655.0
5/12/2016 1:00:00 PM,5/12/2016 9:00:00 AM,83592.0
5/12/2016 2:00:00 PM,5/12/2016 10:00:00 AM,85955.0
5/12/2016 3:00:00 PM,5/12/2016 11:00:00 AM,86945.0
5/12/2016 4:00:00 PM,5/12/2016 12:00:00 PM,87764.0
5/12/2016 5:00:00 PM,5/12/2016 1:00:00 PM,88307.0
5/12/2016 6:00:00 PM,5/12/2016 2:00:00 PM,88659.0
5/12/2016 7:00:00 PM,5/12/2016 3:00:00 PM,88378.0
5/12/2016 8:00:00 PM,5/12/2016 4:00:00 PM,88092.0
5/12/2016 9:00:00 PM,5/12/2016 5:00:00 PM,87289.0
5/12/2016 10:00:00 PM,5/12/2016 6:00:00 PM,85925.0
5/12/2016 11:00:00 PM,5/12/2016 7:00:00 PM,84328.0
5/13/2016 12:00:00 AM,5/12/2016 8:00:00 PM,87754.0
5/13/2016 1:00:00 AM,5/12/2016 9:00:00 PM,86396.0
5/13/2016 2:00:00 AM,5/12/2016 10:00:00 PM,77012.0
5/13/2016 3:00:00 AM,5/12/2016 11:00:00 PM,69011.0
5/13/2016 4:00:00 AM,5/13/2016 12:00:00 AM,62475.0
5/13/2016 5:00:00 AM,5/13/2016 1:00:00 AM,61233.0
5/13/2016 6:00:00 AM,5/13/2016 2:00:00 AM,59002.0
5/13/2016 7:00:00 AM,5/13/2016 3:00:00 AM,58848.0
5/13/2016 8:00:00 AM,5/13/2016 4:00:00 AM,60364.0
5/13/2016 9:00:00 AM,5/13/2016 5:00:00 AM,64787.0
5/13/2016 10:00:00 AM,5/13/2016 6:00:00 AM,73209.0
5/13/2016 11:00:00 AM,5/13/2016 7:00:00 AM,77765.0
5/13/2016 12:00:00 PM,5/13/2016 8:00:00 AM,79781.0
5/13/2016 1:00:00 PM,5/13/2016 9:00:00 AM,82080.0
5/13/2016 2:00:00 PM,5/13/2016 10:00:00 AM,83874.0
5/13/2016 3:00:00 PM,5/13/2016 11:00:00 AM,84393.0
5/13/2016 4:00:00 PM,5/13/2016 12:00:00 PM,84412.0
5/13/2016 5:00:00 PM,5/13/2016 1:00:00 PM,84327.0
5/13/2016 6:00:00 PM,5/13/2016 2:00:00 PM,83919.0
5/13/2016 7:00:00 PM,5/13/2016 3:00:00 PM,83435.0
5/13/2016 8:00:00 PM,5/13/2016 4:00:00 PM,82599.0
5/13/2016 9:00:00 PM,5/13/2016 5:00:00 PM,82154.0
5/13/2016 10:00:00 PM,5/13/2016 6:00:00 PM,79754.0
5/13/2016 11:00:00 PM,5/13/2016 7:00:00 PM,77903.0
5/14/2016 12:00:00 AM,5/13/2016 8:00:00 PM,81424.0
5/14/2016 1:00:00 AM,5/13/2016 9:00:00 PM,80179.0
5/14/2016 2:00:00 AM,5/13/2016 10:00:00 PM,71274.0
5/14/2016 3:00:00 AM,5/13/2016 11:00:00 PM,65091.0
5/14/2016 4:00:00 AM,5/14/2016 12:00:00 AM,60107.0
5/14/2016 5:00:00 AM,5/14/2016 1:00:00 AM,58341.0
5/14/2016 6:00:00 AM,5/14/2016 2:00:00 AM,56480.0
5/14/2016 7:00:00 AM,5/14/2016 3:00:00 AM,55283.0
5/14/2016 8:00:00 AM,5/14/2016 4:00:00 AM,56431.0
5/14/2016 9:00:00 AM,5/14/2016 5:00:00 AM,58212.0
5/14/2016 10:00:00 AM,5/14/2016 6:00:00 AM,61053.0
5/14/2016 11:00:00 AM,5/14/2016 7:00:00 AM,64579.0
5/14/2016 12:00:00 PM,5/14/2016 8:00:00 AM,68214.0
5/14/2016 1:00:00 PM,5/14/2016 9:00:00 AM,71651.0
5/14/2016 2:00:00 PM,5/14/2016 10:00:00 AM,73129.0
5/14/2016 3:00:00 PM,5/14/2016 11:00:00 AM,73547.0
5/14/2016 4:00:00 PM,5/14/2016 12:00:00 PM,73492.0
5/14/2016 5:00:00 PM,5/14/2016 1:00:00 PM,72001.0
5/14/2016 6:00:00 PM,5/14/2016 2:00:00 PM,71338.0
5/14/2016 7:00:00 PM,5/14/2016 3:00:00 PM,70941.0
5/14/2016 8:00:00 PM,5/14/2016 4:00:00 PM,71456.0
5/14/2016 9:00:00 PM,5/14/2016 5:00:00 PM,71827.0
5/14/2016 10:00:00 PM,5/14/2016 6:00:00 PM,71523.0
5/14/2016 11:00:00 PM,5/14/2016 7:00:00 PM,70414.0
5/15/2016 12:00:00 AM,5/14/2016 8:00:00 PM,74293.0
5/15/2016 1:00:00 AM,5/14/2016 9:00:00 PM,74372.0
5/15/2016 2:00:00 AM,5/14/2016 10:00:00 PM,67916.0
5/15/2016 3:00:00 AM,5/14/2016 11:00:00 PM,63321.0
5/15/2016 4:00:00 AM,5/15/2016 12:00:00 AM,59719.0
5/15/2016 5:00:00 AM,5/15/2016 1:00:00 AM,58847.0
5/15/2016 6:00:00 AM,5/15/2016 2:00:00 AM,56771.0
5/15/2016 7:00:00 AM,5/15/2016 3:00:00 AM,56037.0
5/15/2016 8:00:00 AM,5/15/2016 4:00:00 AM,56781.0
