"","P_E_DA","E_DA","P_E_RT","E_RT_total","P_R_REG_a","P_R_REG_d","R_REG_a","R_REG_d","delta_REG_p","delta_REG_n"
"1166",26.548357,97498,18.47484,-1137.54300000001,14.31585,25.7955,230.8,205.8,0,0.161507142857143
"1167",25.112841,96292,14.439406,-1397.067,23.81615,35.37955,228.4,205.8,0,0.068
"1168",25.141761,95234,18.84052,-969.817999999999,27.21519,40.48299,228.1,209.7,0,0.00276666666666667
"1169",25.48367,97048,19.684595,-1112.592,10.8837,22.7592,257.6,209.7,0,0.320097619047619
"1170",33.440627,103517,21.518557,-3272.249,9.01344,9.60466,302.5,175.8,0,0.278095238095238
"1171",43.911038,109139,23.815934,-2173.71799999999,3.09364,3.81276,302.7,175.8,0,0.15037619047619
"1172",38.992493,108804,23.764839,-408.567999999999,2.88342,3.42126,302.7,175.8,0,0.0139571428571429
"1173",34.150289,107887,23.616308,-176.648000000001,11.5039,16.0123,302.7,175.8,0,0.00191190476190476
"1174",32.286871,104305,23.09406,500.152000000002,36.0267,54.20856,253.6,209.6,0,0.0325333333333333
"1175",26.28462,97390,21.251749,2508.238,38.39223,62.58954,254.6,209.6,0,0.0486523809523809
"1176",24.301737,91304,20.04314,3140.569,21.61652,29.59448,254,209.3,0,0.0617547619047619
"1177",23.000122,85722,19.993896,5372.07799999999,12.53538,17.37606,187.9,151.9,0.234298412698413,0
"1178",22.969545,84343,20.818577,5319.542,20.26192,27.80326,197.1,151.9,0.144942857142857,0
"1179",22.843074,83403,20.76076,5853.367,53.888,69.4448,186.2,151.9,0.0218507936507936,0
"1180",22.818815,84191,21.378025,5643.16099999999,19.69839,22.31372,183.8,151.9,0,0.0188952380952381
"1181",24.285428,86611,22.945235,5449.80899999999,9.7937,15.16485,188.9,151.9,0,0.24924126984127
"1182",30.406124,94086,25.439228,3489.114,26.92278,49.33062,250.3,169.7,0,0.127978571428571
"1183",53.853201,104972,152.48901,1408.611,200.81208,214.23528,304.9,145.5,0,0.0255714285714286
"1184",44.090098,106853,33.127009,3091.306,21.51422,27.0179,308,145.5,0,0.726385714285714
"1185",32.410626,104408,25.98862,3466.85799999999,5.0568,5.0568,256.7,169.8,0,0.0379523809523809
"1186",29.602183,102333,28.111704,3015.73299999999,13.0932,13.8348,221.5,169.8,0,0.19947380952381
"1187",28.926248,100476,25.977236,2548.84600000001,25.168,50.8552,223.5,170,0,0.153192857142857
"1188",27.584427,98440,24.264879,1768.19500000001,39.1042,88.9412,226.8,170,0,0.194861904761905
"1189",25.349328,94751,24.671057,3066.041,37.32561,90.82278,256.5,169.9,0,0.197811904761905
"1190",24.239401,92664,22.924174,3281.408,38.0817,68.58225,257.6,169.8,0,0.0766690476190476
"1191",22.717387,90823,21.768792,3230.85000000001,53.14176,101.1024,263.3,169.8,0,0.0791571428571429
"1192",23.00973,89450,22.176174,3443.94500000001,64.9481,101.41268,237.6,169.8,0,0.0142309523809524
"1193",23.240418,90966,23.132082,2805.382,26.11245,73.93113,324.7,169.8,0,0.190423809523809
"1194",26.08436,95524,25.34754,798.130000000005,45.33648,94.06152,381.3,141.5,0,0.0300642857142857
"1195",28.903184,99813,27.738039,-157.141000000003,35.07144,54.36456,381.1,141.5,0,0.1612
"1196",28.288101,98088,25.418459,965.623999999996,31.1372,51.87295,312.1,141.5,0.0132880952380952,0
"1197",26.38708,96277,24.948476,754.006999999998,61.1203,99.81638,312.2,141.5,0,0.0408833333333333
"1198",24.60056,93160,20.314701,541.960000000006,50.99608,92.97036,262.6,146.4,0.0235595238095238,0
"1199",22.017852,86338,20.263497,2544.65399999999,12.07318,12.84923,264.6,146.3,0,0.145204761904762
"1200",18.863032,81621,15.069815,1966.17,7.71363,8.40861,264.4,146.3,0,0.133590476190476
"1201",19.965739,75835,14.023588,3417.389,33.16104,44.13098,188.5,137,0,0.0445873015873016
"1202",18.237407,73583,17.736445,3008.552,12.7075,12.7075,188.4,137,0.243146031746032,0
"1203",17.743108,72161,13.940877,3023.35799999999,8.5176,9.05268,191,137,0,0.142565079365079
"1204",17.005234,71924,12.546669,2497.736,75.65481,103.93515,191,137,0,0.0810349206349206
