"","x"
"1547",46.58
"1548",46.36
"1549",43.92
"1550",39.9
"1551",36.07
"1552",39.9
"1553",42.91
"1554",46.15
"1555",49.59
"1556",51.66
"1557",46.05
"1558",37.4
"1559",35
"1560",31.93
"1561",31.07
"1562",30.01
"1563",29.99
"1564",29.64
"1565",30.6
"1566",32.98
"1567",36
"1568",50.19
"1569",54.25
"1570",54.1
"1571",53.93
"1572",51.54
"1573",49.9
"1574",49.07
"1575",48.69
"1576",47.75
"1577",48
"1578",50.31
"1579",57.52
"1580",61.05
"1581",51.93
"1582",43.93
"1583",41.94
"1584",33.73
"1585",33.98
"1586",32.76
"1587",32
"1588",31.38
"1589",31.2
"1590",32.06
"1591",41.04
"1592",49.61
"1593",49.93
"1594",43.44
"1595",41
"1596",38.1
"1597",34.16
"1598",33.65
"1599",35.01
"1600",33.7
"1601",34.03
"1602",35.74
"1603",42.05
"1604",42
"1605",34.15
"1606",31.85
"1607",32.14
"1608",28.97
"1609",30.66
"1610",30.56
"1611",29.78
"1612",29.3
"1613",29.28
"1614",31.12
"1615",41.59
"1616",48.67
"1617",50.02
"1618",49.02
"1619",48.62
"1620",47.16
"1621",43.82
"1622",41.85
"1623",38.09
"1624",36.69
"1625",35.3
"1626",41.47
"1627",44.82
"1628",42.84
"1629",33.34
"1630",33.02
"1631",31.51
"1632",28.82
"1633",20.82
"1634",18.18
"1635",12.01
"1636",18.09
"1637",26.96
"1638",28.59
"1639",31.9
"1640",41.98
"1641",41.93
"1642",36.96
"1643",33.02
"1644",32.09
"1645",31.51
"1646",31.31
"1647",31.26
"1648",32.11
"1649",36.07
"1650",40.37
"1651",49.17
"1652",53.56
"1653",45.88
"1654",39.67
"1655",37.71
"1656",34.25
"1657",33.02
"1658",31.24
"1659",30.13
"1660",29.64
"1661",29.07
"1662",30
"1663",31.77
"1664",32.4
"1665",35
"1666",35.05
"1667",33
"1668",31.41
"1669",31.07
"1670",30.19
"1671",29.85
"1672",29.98
"1673",30.81
"1674",34.66
"1675",43.97
"1676",45.91
"1677",38.1
"1678",32.26
"1679",32.11
"1680",30.05
"1681",27.9
"1682",25.4
"1683",20.36
"1684",13.92
"1685",10.88
"1686",11.95
"1687",13.92
"1688",11.21
"1689",10.97
"1690",13.28
"1691",10.18
"1692",15.63
"1693",9.6
"1694",12.21
"1695",9.55
"1696",11.93
"1697",11
"1698",26.9
"1699",31.15
"1700",31.35
"1701",30.69
"1702",30.62
"1703",30.4
"1704",29.34
"1705",27.04
"1706",26.82
"1707",26.9
"1708",27.02
"1709",27.77
"1710",29.64
"1711",33.83
"1712",41
"1713",42.86
"1714",40
"1715",34.57
"1716",32.89
"1717",31.97
"1718",32.2
"1719",31.7
"1720",32
"1721",36.61
"1722",41.82
"1723",49.9
"1724",56.99
"1725",49.51
"1726",44.94
"1727",39.96
"1728",33.55
"1729",29.58
"1730",28.61
"1731",27.73
"1732",27.75
"1733",28.43
"1734",29.49
"1735",37.72
"1736",44.92
"1737",47.1
"1738",43.97
"1739",41.93
"1740",37.19
"1741",31.08
"1742",30.08
"1743",30.08
"1744",30.16
"1745",35
"1746",41.15
"1747",45.58
"1748",45.46
"1749",35.85
"1750",28.99
"1751",28.08
"1752",23.44
"1753",22.21
"1754",21.14
"1755",18.65
"1756",20.16
"1757",24.03
"1758",28.05
"1759",34.96
"1760",40.98
"1761",40.97
"1762",38.99
"1763",34.94
"1764",33.07
"1765",32.14
"1766",31.5
"1767",31.42
"1768",32.4
"1769",33.06
"1770",41
"1771",47.97
"1772",52.09
"1773",43.9
"1774",38.1
